method,split,members,weights,note,n,final_n,overall_acc,overall_auc,overall_prec,overall_rec,overall_f1,final_acc,final_auc,final_prec,final_rec,final_f1
base,val,base,1.0,single model,1755,415,68.71794871794872,74.31568131026614,68.85026737967914,61.973525872442835,65.23115896136795,61.686746987951814,78.73847469011417,90.32258064516128,54.36893203883495,67.87878787878789
sip,val,sip,1.0,single model,1755,415,67.12250712250713,73.86689223331823,67.06989247311827,60.048134777376646,63.36507936507937,58.554216867469876,76.25633510410941,88.70056497175142,50.80906148867314,64.60905349794238
bep,val,bep,1.0,single model,1755,415,67.008547008547,75.52582295362079,63.347457627118644,71.96149217809868,67.38028169014085,67.71084337349397,77.86987848812358,87.2340425531915,66.34304207119742,75.36764705882352
M1_equal_base_bep,val,base+bep,0.500+0.500,No tuned weights; equal average of baseline and BEP-Adaptive-Labels.,1755,415,69.23076923076923,75.98978438328618,68.07453416149069,65.94464500601684,66.99266503667481,64.81927710843374,79.88642608536361,90.54726368159204,58.89967637540453,71.37254901960785
M2_val_weighted_base_bep,val,base+bep,0.300+0.700,Weights selected by validation grid search over base/BEP at 0.1 step.,1755,415,69.45868945868946,76.13792645381093,67.49703440094899,68.47172081829122,67.98088410991637,66.74698795180723,79.52463821212676,90.14084507042254,62.13592233009708,73.5632183908046
M3_preregistered_base_sip_bep,val,base+sip+bep,0.333+0.333+0.333,Pre-registered equal average of the three complementary prior model families.,1755,415,68.77492877492878,75.72736128692807,68.25806451612904,63.65824308062575,65.87795765877958,62.16867469879518,79.20864627221103,88.77551020408163,56.310679611650485,68.9108910891089
base,test,base,1.0,single model,1985,515,69.47103274559194,75.99099053242392,68.80630630630631,65.0,66.84901531728666,62.5242718446602,75.46877391703659,87.04453441295547,57.180851063829785,69.02086677367576
sip,test,sip,1.0,single model,1985,515,70.07556675062972,75.98915809834062,70.11627906976744,64.14893617021276,67.0,62.13592233009708,76.84639522424615,89.51965065502183,54.52127659574468,67.76859504132231
bep,test,bep,1.0,single model,1985,515,67.60705289672543,75.93449048152296,63.86554621848739,72.76595744680851,68.0258577821979,66.99029126213593,75.26978417266187,86.26760563380282,65.1595744680851,74.24242424242425
M1_equal_base_bep,test,base+bep,0.500+0.500,No tuned weights; equal average of baseline and BEP-Adaptive-Labels.,1985,515,70.02518891687657,76.91657334826428,68.33156216790648,68.40425531914893,68.367889420521,66.01941747572816,76.26664625746211,88.8030888030888,61.170212765957444,72.44094488188976
M2_val_weighted_base_bep,test,base+bep,0.300+0.700,Weights selected by validation grid search over base/BEP at 0.1 step.,1985,515,69.1183879093199,76.76086735213275,66.87306501547987,68.93617021276596,67.8889470927187,65.8252427184466,76.15949793356805,88.16793893129771,61.43617021276596,72.41379310344827
M3_preregistered_base_sip_bep,test,base+sip+bep,0.333+0.333+0.333,Pre-registered equal average of the three complementary prior model families.,1985,515,70.37783375314861,76.98528962638706,69.4260485651214,66.91489361702128,68.14734561213434,64.46601941747574,76.86457217204958,89.38775510204081,58.24468085106383,70.53140096618358
